,budget,genres,id,keywords,popularity,release_month,revenue,runtime,title,vote_average,vote_count,won,genre_weight,profit
24,207000000,Adventure|Drama|Action,254,film business|screenplay|show business|film making|film producer|exotic island|monster|indigenous|ship|dinosaur,61.226009999999995,12,550000000,187.0,King Kong,6.6,2337,0,0.430939226519337,343000000
26,250000000,Adventure|Action|Science Fiction,271110,civil war|war|marvel comic|sequel|superhero|based on comic book|imax|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe|3d,198.37239499999998,4,1153304495,147.0,Captain America: Civil War,7.1,7241,0,0.1432517758484609,903304495
27,209000000,Thriller|Action|Adventure|Science Fiction,44833,fight|u.s. navy|mind reading|hong kong|soccer|scientist|fictional war|naval|armada|battleship|naval combat|jds myoko|lost communication|taser|buoy|communications expert|joint chiefs of staff|crash landing|jet fighter pilot|navy lieutenant|permission to marry|uss john paul jones|based on board game|aftercreditsstinger|mighty mo|uss missouri,64.928382,4,303025485,131.0,Battleship,5.5,2114,0,0.19297553275453827,94025485
28,150000000,Action|Adventure|Science Fiction|Thriller,135397,monster|dna|tyrannosaurus rex|velociraptor|island|sequel|suspense|disaster|escape|dinosaur|amusement park|animal attack|theme park|jurassic park|3d|animal horror,418.708552,6,1513528810,124.0,Jurassic World,6.5,8662,0,0.19297553275453827,1363528810
29,200000000,Action|Adventure|Thriller,37724,spy|secret agent|sociopath|killer|art gallery|british secret service|istanbul turkey|imax|uzi|booby trap|impersonating a police officer|macao,93.004993,10,1108561013,143.0,Skyfall,6.9,7604,0,0.12154696132596685,908561013
30,200000000,Action|Adventure|Fantasy,558,dual identity|love of one's life|pizza boy|marvel comic|sequel|superhero|doctor|scientist|tentacle|death|super villain,35.149586,6,783766341,127.0,Spider-Man 2,6.7,4321,0,0.08287292817679558,583766341
31,200000000,Action|Adventure|Science Fiction,68721,terrorist|war on terror|tennessee|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|mandarin|3d|war machine|iron patriot|extremis,77.68208,4,1215439994,130.0,Iron Man 3,6.8,8806,0,0.1432517758484609,1015439994
32,200000000,Family|Fantasy|Adventure,12155,based on novel|fictional place|queen|fantasy|alice in wonderland|fantasy world|3d,78.530105,3,1025491110,108.0,Alice in Wonderland,6.4,4645,0,0.06629834254143646,825491110
33,210000000,Adventure|Action|Science Fiction|Thriller,36668,mutant|marvel comic|based on comic book|superhuman|beast|cyclops|aftercreditsstinger,3.857526,5,459359555,104.0,X-Men: The Last Stand,6.3,3525,0,0.19297553275453827,249359555
34,200000000,Animation|Family,62211,monster|dormitory|games|animation|best friend|university|scary|aftercreditsstinger,89.186492,6,743559607,104.0,Monsters University,7.0,3528,0,0.08800315706393053,543559607
35,150000000,Science Fiction|Action|Adventure,8373,egypt|sun|chaos|symbol|artifact|transformers|tank|robot|imax|duringcreditsstinger,21.939663,6,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,0,0.1432517758484609,686297228
36,210000000,Science Fiction|Action|Adventure,91314,sequel|alien|transformers|giant robot|robot|imax|transforming robot,116.840296,6,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,0,0.1432517758484609,881405097
37,200000000,Fantasy|Adventure|Family,68728,circus|witch|magic|hope|illusion|lost|magic trick|wizard|3d,46.985445,3,491868548,130.0,Oz: The Great and Powerful,5.7,3530,0,0.06629834254143646,291868548
