Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre
1947,20,Best Motion Picture,0,Great Expectations ,J. Arthur Rank-Cineguild,0,0,118,7.1,107,6.311,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1947,20,Best Motion Picture,0,Miracle on 34th Street ,20th Century-Fox,0,0,96,7.5,220,23.338,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
1948,21,Best Motion Picture,1,Hamlet ,J. Arthur Rank-Two Cities Films,0,750000,155,7.6,76,4.285,"[{'id': 18, 'name': 'Drama'}]"
1948,21,Best Motion Picture,0,Johnny Belinda ,Warner Brothers,0,0,102,6.9,29,2.025,"[{'id': 18, 'name': 'Drama'}]"
1948,21,Best Motion Picture,0,The Red Shoes ,J. Arthur Rank-Archers,0,500000,133,8.1,198,7.931,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1948,21,Best Motion Picture,0,The Snake Pit ,20th Century-Fox,0,0,108,7.2,34,3.98,"[{'id': 18, 'name': 'Drama'}]"
1948,21,Best Motion Picture,0,The Treasure of the Sierra Madre ,Warner Brothers,4307000,3800000,126,8.1,422,9.354,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]"
1949,22,Best Motion Picture,1,All the King's Men ,Robert Rossen Productions,0,0,109,7.1,65,6.138,"[{'id': 18, 'name': 'Drama'}]"
1949,22,Best Motion Picture,0,Battleground ,Metro-Goldwyn-Mayer,0,0,118,6.8,34,3.246,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1949,22,Best Motion Picture,0,The Heiress ,Paramount,0,2600000,115,7.7,60,3.732,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1949,22,Best Motion Picture,0,A Letter to Three Wives ,20th Century-Fox,0,0,103,7.2,43,3.264,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1949,22,Best Motion Picture,0,Twelve O'Clock High ,20th Century-Fox,3225000,0,132,7.1,48,3.588,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
1950,23,Best Motion Picture,1,All about Eve ,20th Century-Fox,63463,1400000,139,8.2,575,9.223,"[{'id': 18, 'name': 'Drama'}]"
1950,23,Best Motion Picture,0,Born Yesterday ,Columbia,0,0,103,7,49,4.533,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
1950,23,Best Motion Picture,0,Father of the Bride ,Metro-Goldwyn-Mayer,0,0,92,7,68,4.357,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
1950,23,Best Motion Picture,0,King Solomon's Mines ,Metro-Goldwyn-Mayer,0,0,103,6.3,34,2.649,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]"
1950,23,Best Motion Picture,0,Sunset Blvd. ,Paramount,5000000,1752000,110,8.3,880,9.459,"[{'id': 18, 'name': 'Drama'}]"
1951,24,Best Motion Picture,1,An American in Paris ,"Arthur Freed, Producer",4500000,2723903,113,7,210,6.571,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1951,24,Best Motion Picture,0,Decision before Dawn ,"Anatole Litvak and Frank McCarthy, Producers",0,0,119,7,15,1.401,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
1951,24,Best Motion Picture,0,A Place in the Sun ,"George Stevens, Producer",0,0,122,7.4,127,7.384,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1951,24,Best Motion Picture,0,Quo Vadis ,"Sam Zimbalist, Producer",30000000,8250000,171,7.1,120,7.339,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
1951,24,Best Motion Picture,0,A Streetcar Named Desire ,"Charles K. Feldman, Producer",8000000,1800000,125,7.8,475,9.471,"[{'id': 18, 'name': 'Drama'}]"
1952,25,Best Motion Picture,1,The Greatest Show on Earth ,"Cecil B. DeMille, Producer",36000000,4000000,152,6.4,76,5.204,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
1952,25,Best Motion Picture,0,High Noon ,"Stanley Kramer, Producer",8000000,730000,85,7.7,516,7.515,"[{'id': 37, 'name': 'Western'}]"
1952,25,Best Motion Picture,0,Ivanhoe ,"Pandro S. Berman, Producer",0,0,106,7,63,4.8,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1952,25,Best Motion Picture,0,Moulin Rouge ,Romulus Films,0,1500000,119,6.7,28,3.097,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
1952,25,Best Motion Picture,0,The Quiet Man ,"John Ford and Merian C. Cooper, Producers",0,0,129,7.4,174,6.603,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1953,26,Best Motion Picture,1,From Here to Eternity ,"Buddy Adler, Producer",30500000,1650000,118,7.4,216,6.628,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
