,Year,Ceremony,Award,Winner,title,production
3294,1959,32,Best Motion Picture,1,Ben-Hur ,"Sam Zimbalist, Producer"
3295,1959,32,Best Motion Picture,0,The Diary of Anne Frank ,"George Stevens, Producer"
3296,1959,32,Best Motion Picture,0,The Nun's Story ,"Henry Blanke, Producer"
3297,1959,32,Best Motion Picture,0,Room at the Top ,"John Woolf and James Woolf, Producers"
3414,1960,33,Best Motion Picture,0,The Alamo ,"John Wayne, Producer"
3415,1960,33,Best Motion Picture,1,The Apartment ,"Billy Wilder, Producer"
3416,1960,33,Best Motion Picture,0,Elmer Gantry ,"Bernard Smith, Producer"
3417,1960,33,Best Motion Picture,0,Sons and Lovers ,"Jerry Wald, Producer"
3418,1960,33,Best Motion Picture,0,The Sundowners ,"Fred Zinnemann, Producer"
3536,1961,34,Best Motion Picture,0,Fanny ,"Joshua Logan, Producer"
3537,1961,34,Best Motion Picture,0,The Guns of Navarone ,"Carl Foreman, Producer"
3538,1961,34,Best Motion Picture,0,The Hustler ,"Robert Rossen, Producer"
3539,1961,34,Best Motion Picture,0,Judgment at Nuremberg ,"Stanley Kramer, Producer"
3540,1961,34,Best Motion Picture,1,West Side Story ,"Robert Wise, Producer"
3658,1962,35,Best Picture,1,Lawrence of Arabia ,"Sam Spiegel, Producer"
3659,1962,35,Best Picture,0,The Longest Day ,"Darryl F. Zanuck, Producer"
3660,1962,35,Best Picture,0,Meredith Willson's The Music Man ,"Morton Da Costa, Producer"
3661,1962,35,Best Picture,0,Mutiny on the Bounty ,"Aaron Rosenberg, Producer"
3662,1962,35,Best Picture,0,To Kill a Mockingbird ,"Alan J. Pakula, Producer"
3780,1963,36,Best Picture,0,America America ,"Elia Kazan, Producer"
3781,1963,36,Best Picture,0,Cleopatra ,"Walter Wanger, Producer"
3782,1963,36,Best Picture,0,How the West Was Won ,"Bernard Smith, Producer"
3783,1963,36,Best Picture,0,Lilies of the Field ,"Ralph Nelson, Producer"
3784,1963,36,Best Picture,1,Tom Jones ,"Tony Richardson, Producer"
3905,1964,37,Best Picture,0,Becket ,"Hal B. Wallis, Producer"
3906,1964,37,Best Picture,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"Stanley Kubrick, Producer"
3907,1964,37,Best Picture,0,Mary Poppins ,"Walt Disney and Bill Walsh, Producers"
3908,1964,37,Best Picture,1,My Fair Lady ,"Jack L. Warner, Producer"
3909,1964,37,Best Picture,0,Zorba the Greek ,"Michael Cacoyannis, Producer"
4027,1965,38,Best Picture,0,Darling ,"Joseph Janni, Producer"
4028,1965,38,Best Picture,0,Doctor Zhivago ,"Carlo Ponti, Producer"
4029,1965,38,Best Picture,0,Ship of Fools ,"Stanley Kramer, Producer"
4030,1965,38,Best Picture,1,The Sound of Music ,"Robert Wise, Producer"
4031,1965,38,Best Picture,0,A Thousand Clowns ,"Fred Coe, Producer"
4152,1966,39,Best Picture,0,Alfie ,"Lewis Gilbert, Producer"
4153,1966,39,Best Picture,1,A Man for All Seasons ,"Fred Zinnemann, Producer"
4154,1966,39,Best Picture,0,The Russians Are Coming The Russians Are Coming ,"Norman Jewison, Producer"
4155,1966,39,Best Picture,0,The Sand Pebbles ,"Robert Wise, Producer"
4156,1966,39,Best Picture,0,Who's Afraid of Virginia Woolf? ,"Ernest Lehman, Producer"
4261,1967,40,Best Picture,0,Bonnie and Clyde ,"Warren Beatty, Producer"
4262,1967,40,Best Picture,0,Doctor Dolittle ,"Arthur P. Jacobs, Producer"
4263,1967,40,Best Picture,0,The Graduate ,"Lawrence Turman, Producer"
4264,1967,40,Best Picture,0,Guess Who's Coming to Dinner ,"Stanley Kramer, Producer"
4265,1967,40,Best Picture,1,In the Heat of the Night ,"Walter Mirisch, Producer"
4370,1968,41,Best Picture,0,Funny Girl ,"Ray Stark, Producer"
4371,1968,41,Best Picture,0,The Lion in Winter ,"Martin Poll, Producer"
4372,1968,41,Best Picture,1,Oliver! ,"John Woolf, Producer"
4373,1968,41,Best Picture,0,"Rachel, Rachel ","Paul Newman, Producer"
4374,1968,41,Best Picture,0,Romeo and Juliet ,"Anthony Havelock-Allan and John Brabourne, Producers"
4478,1969,42,Best Picture,0,Anne of the Thousand Days ,"Hal B. Wallis, Producer"
4479,1969,42,Best Picture,0,Butch Cassidy and the Sundance Kid ,"John Foreman, Producer"
4480,1969,42,Best Picture,0,"Hello, Dolly! ","Ernest Lehman, Producer"
4481,1969,42,Best Picture,1,Midnight Cowboy ,"Jerome Hellman, Producer"
4482,1969,42,Best Picture,0,Z ,"Jacques Perrin and Hamed Rachedi, Producers"
4583,1970,43,Best Picture,0,Airport ,"Ross Hunter, Producer"
4584,1970,43,Best Picture,0,Five Easy Pieces ,"Bob Rafelson and Richard Wechsler, Producers"
4585,1970,43,Best Picture,0,Love Story ,"Howard G. Minsky, Producer"
4586,1970,43,Best Picture,1,MASH,"Ingo Preminger, Producer"
4587,1970,43,Best Picture,1,Patton ,"Frank McCarthy, Producer"
4690,1971,44,Best Picture,0,A Clockwork Orange ,"Stanley Kubrick, Producer"
4691,1971,44,Best Picture,0,Fiddler on the Roof ,"Norman Jewison, Producer"
4692,1971,44,Best Picture,1,The French Connection ,"Philip D'Antoni, Producer"
4693,1971,44,Best Picture,0,The Last Picture Show ,"Stephen J. Friedman, Producer"
4694,1971,44,Best Picture,0,Nicholas and Alexandra ,"Sam Spiegel, Producer"
4793,1972,45,Best Picture,0,Cabaret ,"Cy Feuer, Producer"
4794,1972,45,Best Picture,0,Deliverance ,"John Boorman, Producer"
4795,1972,45,Best Picture,0,The Emigrants ,"Bengt Forslund, Producer"
4796,1972,45,Best Picture,1,The Godfather ,"Albert S. Ruddy, Producer"
4797,1972,45,Best Picture,0,Sounder ,"Robert B. Radnitz, Producer"
4896,1973,46,Best Picture,0,American Graffiti ,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer"
4897,1973,46,Best Picture,0,Cries and Whispers ,"Ingmar Bergman, Producer"
4898,1973,46,Best Picture,0,The Exorcist ,"William Peter Blatty, Producer"
4899,1973,46,Best Picture,1,The Sting ,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
4900,1973,46,Best Picture,0,A Touch of Class ,"Melvin Frank, Producer"
4999,1974,47,Best Picture,0,Chinatown ,"Robert Evans, Producer"
