,Year,Ceremony,Award,Winner,title,production
8544,2006,79,Best Picture,0,Babel ,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers"
8545,2006,79,Best Picture,1,The Departed ,"Graham King, Producer"
8546,2006,79,Best Picture,0,Letters from Iwo Jima ,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers"
8547,2006,79,Best Picture,0,Little Miss Sunshine ,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers"
8548,2006,79,Best Picture,0,The Queen ,"Andy Harries, Christine Langan and Tracey Seaward, Producers"
8662,2007,80,Best Picture,0,Atonement ,"Tim Bevan, Eric Fellner and Paul Webster, Producers"
8663,2007,80,Best Picture,0,Juno ,"Lianne Halfon, Mason Novick and Russell Smith, Producers"
8664,2007,80,Best Picture,0,Michael Clayton ,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
8665,2007,80,Best Picture,1,No Country for Old Men ,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
8666,2007,80,Best Picture,0,There Will Be Blood ,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
8777,2008,81,Best Picture,0,The Curious Case of Benjamin Button ,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
8778,2008,81,Best Picture,0,Frost/Nixon ,"Brian Grazer, Ron Howard and Eric Fellner, Producers"
8779,2008,81,Best Picture,0,Milk ,"Dan Jinks and Bruce Cohen, Producers"
8780,2008,81,Best Picture,0,The Reader ,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
8781,2008,81,Best Picture,1,Slumdog Millionaire ,"Christian Colson, Producer"
8896,2009,82,Best Picture,0,Avatar ,"James Cameron and Jon Landau, Producers"
8897,2009,82,Best Picture,0,The Blind Side ,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers"
8898,2009,82,Best Picture,0,District 9 ,"Peter Jackson and Carolynne Cunningham, Producers"
8899,2009,82,Best Picture,0,An Education ,"Finola Dwyer and Amanda Posey, Producers"
8900,2009,82,Best Picture,1,The Hurt Locker ,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
8901,2009,82,Best Picture,0,Inglourious Basterds ,"Lawrence Bender, Producer"
8902,2009,82,Best Picture,0,Precious: Based on the Novel 'Push' by Sapphire ,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
8903,2009,82,Best Picture,0,A Serious Man ,"Joel Coen and Ethan Coen, Producers"
8904,2009,82,Best Picture,0,Up ,"Jonas Rivera, Producer"
8905,2009,82,Best Picture,0,Up in the Air ,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers"
9018,2010,83,Best Picture,0,Black Swan ,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
9019,2010,83,Best Picture,0,The Fighter ,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
9020,2010,83,Best Picture,0,Inception ,"Emma Thomas and Christopher Nolan, Producers"
9021,2010,83,Best Picture,0,The Kids Are All Right ,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
9022,2010,83,Best Picture,1,The King's Speech ,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
9023,2010,83,Best Picture,0,127 Hours ,"Christian Colson, Danny Boyle and John Smithson, Producers"
9024,2010,83,Best Picture,0,The Social Network ,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
9025,2010,83,Best Picture,0,Toy Story 3 ,"Darla K. Anderson, Producer"
9026,2010,83,Best Picture,0,True Grit ,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
9027,2010,83,Best Picture,0,Winter's Bone ,"Anne Rosellini and Alix Madigan-Yorkin, Producers"
9143,2011,84,Best Picture,1,The Artist ,"Thomas Langmann, Producer"
9144,2011,84,Best Picture,0,The Descendants ,"Jim Burke, Alexander Payne and Jim Taylor, Producers"
9145,2011,84,Best Picture,0,Extremely Loud & Incredibly Close ,"Scott Rudin, Producer"
9146,2011,84,Best Picture,0,The Help ,"Brunson Green, Chris Columbus and Michael Barnathan, Producers"
9147,2011,84,Best Picture,0,Hugo ,"Graham King and Martin Scorsese, Producers"
9148,2011,84,Best Picture,0,Midnight in Paris ,"Letty Aronson and Stephen Tenenbaum, Producers"
9149,2011,84,Best Picture,0,Moneyball ,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
9150,2011,84,Best Picture,0,The Tree of Life ,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
9151,2011,84,Best Picture,0,War Horse ,"Steven Spielberg and Kathleen Kennedy, Producers"
9265,2012,85,Best Picture,0,Amour ,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers"
9266,2012,85,Best Picture,1,Argo ,"Grant Heslov, Ben Affleck and George Clooney, Producers"
9267,2012,85,Best Picture,0,Beasts of the Southern Wild ,"Dan Janvey, Josh Penn and Michael Gottwald, Producers"
9268,2012,85,Best Picture,0,Django Unchained ,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers"
9269,2012,85,Best Picture,0,Les Misérables ,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers"
9270,2012,85,Best Picture,0,Life of Pi ,"Gil Netter, Ang Lee and David Womark, Producers"
9271,2012,85,Best Picture,0,Lincoln ,"Steven Spielberg and Kathleen Kennedy, Producers"
9272,2012,85,Best Picture,0,Silver Linings Playbook ,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers"
9273,2012,85,Best Picture,0,Zero Dark Thirty ,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers"
9392,2013,86,Best Picture,0,American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
9393,2013,86,Best Picture,0,Captain Phillips ,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers"
9394,2013,86,Best Picture,0,Dallas Buyers Club ,"Robbie Brenner and Rachel Winter, Producers"
9395,2013,86,Best Picture,0,Gravity ,"Alfonso Cuarón and David Heyman, Producers"
9396,2013,86,Best Picture,0,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers"
9397,2013,86,Best Picture,0,Nebraska ,"Albert Berger and Ron Yerxa, Producers"
9398,2013,86,Best Picture,0,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
9399,2013,86,Best Picture,1,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
9400,2013,86,Best Picture,0,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
9520,2014,87,Best Picture,0,American Sniper ,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers"
9521,2014,87,Best Picture,1,Birdman or (The Unexpected Virtue of Ignorance) ,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
9522,2014,87,Best Picture,0,Boyhood ,"Richard Linklater and Cathleen Sutherland, Producers"
9523,2014,87,Best Picture,0,The Grand Budapest Hotel ,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers"
9524,2014,87,Best Picture,0,The Imitation Game ,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
9525,2014,87,Best Picture,0,Selma ,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
9526,2014,87,Best Picture,0,The Theory of Everything ,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
9527,2014,87,Best Picture,0,Whiplash ,"Jason Blum, Helen Estabrook and David Lancaster, Producers"
9647,2015,88,Best Picture,0,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
9648,2015,88,Best Picture,0,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
9649,2015,88,Best Picture,0,Brooklyn,"Finola Dwyer and Amanda Posey, Producers"
9650,2015,88,Best Picture,0,Mad Max: Fury Road,"Doug Mitchell and George Miller, Producers"
9651,2015,88,Best Picture,0,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers"
9652,2015,88,Best Picture,0,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
9653,2015,88,Best Picture,0,Room,"Ed Guiney, Producer"
9654,2015,88,Best Picture,1,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
